Catalog_Number,Match_Ranking,Resource_Name,Abbreviated_Citation,Perceived_Impact,Developer_Sector,Stream_type_requirements,Geographic_applicability,Adaptable_to_other_locations,Agency_or_organization,Year_of_publication_or_latest_update,Assessment_Class,Hydrology,Hydraulics,Geomorphology,Physicochemical,Biology,Biology_and_Stream_Habitat,Connectivity_Aquatic_Organism_Passage,Stream_Habitat,Riparian_Zone,Variability,Stream_Classification,Time_Required_Tasks_only,Training_Needed,Location_of_Assessment,Tier_of_analysis,Input_Data_Type,Output_Data_Type,Data_Availability,Reference_Required,Performance_Standards_or_Reference_Curves_Used,Programmatic_Applications,Region_of_development_application,State_of_development_application,USACE_Division_use,USACE_District_use,URL_for_tool_or_data_storage,URL_for_user_guide,Notes,Long_Citation,Introductory_Description
18,11,Primary Headwater Streams (PHW) Ohio,Ohio EPA (2020),High,Public,Watersheds < 1 sq mi,Ohio,No,Ohio EPA,2020,Protocol,-,-,RE,-,DC,DC,-,DC,-,-,-,"Hours,Days","Low,Medium,High","Field,Office","T1, T2, T3",Field data,"Score, Data",No,No,Yes,CWA 404/401,-,OH,n/a,n/a,-,https://epa.ohio.gov/static/Portals/35/credibledata/PHWHManual_2020_Ver_4_1_May_2020_Final.pdf,-,"Ohio EPA. 2020. Field Methods for Evaluating Primary Headwater Streams in Ohio. Version 4.1. Ohio EPA Division of Surface Water, Columbus, Ohio. 130 pp.",Tiered approach to primary headwater stream classification and scoring (includes HMFEI and HHEI).  Ohio EPA has developed this manual to provide standardized assessment methodologies for primary headwater streams. The methods provided in this manual are used to discern the actual and expected biological conditions in primary headwater streams. The use of the procedures in this manual is particularly relevant in the context of Section 401 water quality certifications and antidegradation reviews.
12,12,Hydrogeomorphic Method tools for the Appalachian region (HGM),"Noble et al. (2010), Summers et al. (2017)",High,Public,-,"Eastern KY, WV, Applachian regions of OH, PA, VA",No,USACE ERDC,2017,Protocol,-,-,DC,-,-,-,-,-,DC,-,-,Days,Medium,"Field,Office",T3,Field data,Index,Yes,No,Yes,CWA 404/401,"Eastern KY, WV, Applachian regions of OH, PA, VA","KY, WV, OH, PA, VA",-,Huntington,-,https://wetlands.el.erdc.dren.mil/guidebooks.cfm,-,"Summers, E.A., Noble, C.V., Berkowitz, J.F., and Spiker, F.J. (2017). ""Operational Draft Regional Guidebook for the Functional Assessment of High-Gradient Headwater Streams and Low-Gradient Perennial Streams in Appalachia,"" ERDC/EL TR-17-1, U.S. Army Engineer Research and Development Center, Vicksburg, MS (FCI Calculator-High Gradient , FCI Calculator-Low Gradient)","This report uses the HGM Approach to develop a Regional Guidebook to: (a) characterize high-gradient (greater than four percent channel slope) ephemeral and intermittent streams, known collectively as headwater streams, and wadeable, shadeable perennial streams with less than four percent slope, known as perennial streams, in the Appalachian region; (b) provide the rationale used to select functions for the headwater and perennial stream subclasses; (c) provide the rationale used to select assessment variables at the stream, riparian/buffer zone and watershed levels;( d) provide the rationale used to develop assessment equations; (e) provide data from reference streams and document their use in calibrating variables and assessment equations; and (f) outline the necessary protocols for applying the functional indices to the assessment of stream functions. The rapid assessments provided in this guidebook utilize structural components of streams and their watershed and can be used in conjunction with assessment of water quality and biotic communities if desired."
13,13,Illinois Stream Assessment Method,"USACE (2010, 2011)",High,Public,-,IL,No,USACE,2011,Mitigation Protocol,S,-,-,-,-,-,-,-,-,-,S,Hours,Low,"Field,Office",T1,Field data,"Impacts, Credits",No,No,No,CWA 404/401,-,IL,Mississippi Valley Division,Memphis District,-,https://www.mvr.usace.army.mil/Portals/48/docs/regulatory/mitigation/IllinoisMethod.pdf,"Adverse impact worksheet, Stream restoration worksheet, Riparian Worksheet.  This guidance is applicable to regulatory actions requiring compensatory mitigation for adverse ecological effects where more rigorous, detailed studies such as the Hydrogeomorphic Methodology (HGM) are not considered practical or necessary.  This method is a rapid protocol and has been established to provide a consistent rationale to make stream credit determinations for projects within the State of Illinois.  This method will be required when assessing mitigation for impacts and in determining credits for stream mitigation banks, in-lieu fee programs, and for permittee-responsible sites.",-,"This guidance is applicable to regulatory actions requiring compensatory mitigation for adverse ecological effects where more rigorous, detailed studies such as the Hydrogeomorphic Methodology (HGM) are not considered practical or necessary.  This method is a rapid protocol and has been established to provide a consistent rationale to make stream credit determinations for projects within the State of Illinois.  This method will be required when assessing mitigation for impacts and in determining credits for stream mitigation banks, in-lieu fee programs, and for permittee-responsible sites."
14,14,Index of Biotic Integrity (IBI),Karr et al. (1986),High,Public,-,Nationwide,Yes,Illinois Natural History Survey,1986,Base Protocol,-,-,-,-,DC,DC,-,-,-,-,-,"Hours,Week+","Medium,High","Field,Office",T3,Field data,Index,No,Yes,No,"Monitoring, CWA 404/401",-,-,-,-,-,https://semspub.epa.gov/work/01/554353.pdf,-,"Karr, J. R. (1986). Assessing biological integrity in running waters: a method and its rationale. Illinois Natural History Survey Special Publication no. 05.","The Index of Biotic Integrity (IBI) was designed to include a range ofattributes offish assemblages. Its twelve measures, or metrics, fall into three broad categories: Species Compo sition, Trophic Composition, and Fish Abundance and Con dition (Karr 1981). Data are obtained for each of these metrics at a given site and evaluated in light of what might be expected at an unimpacted or relatively unimpacted site located in a similar geographical region and on a stream of comparable size. A number rating is then assigned to each metric based on whether its evaluation deviates strongly from, deviates somewhat from, or approximates expecta tions. The sum of the twelve ratings, in turn, yields an overall site score. The strength of IBI is its ability to integrate infor mation from individual, population, community, zoogeo graphic, and ecosystem levels into a single ecologically based index of the quality of a water resource. "
15,15,Michigan Stream Quantification Tool (MI SQT v. 1.0),Michigan Department of the Environment (2020),High,Public,-,MI,No,Michigan Department of the Environment,2020,Protocol,RE,-,DC,DC,DC,DC,-,-,RE,-,-,Days,"Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",-,MI,-,-,-,https://www.michigan.gov/egle/about/organization/water-resources/inland-lakes-and-streams/quantification-tool,-,"Michigan Department of Environment, Great Lakes, and Energy (EGLE). 2020. Michigan Stream Quantification Tool: Data Collection and Analysis Manual, MiSQT v1.0., EGLE, Lansing, MI.",The purpose of this document is to provide instruction on how to collect and analyze data for input into the Michigan Stream Quantification Tool (MiSQT or SQT).
16,16,Minnesota Stream Quantification Tool (MN SQT v. 2.0),MN SQT Steering Committee (2020),High,Public,-,MN,No,Minnesota Stream Quantification Tool Steering Committee,2020,Protocol,RE,-,DC,DC,DC,DC,-,-,RE,-,-,Days,"Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,CWA 404/401 Section 10,-,MN,Mississippi Valley Division,St. Paul District,-,https://stream-mechanics.com/wp-content/uploads/2020/12/MNSQT-User-Manual-v2.0.pdf,-,"Minnesota Stream Quantification Tool Steering Committee (MNSQT SC). 2020. Minnesota Stream Quantification Tool and Debit Calculator (MNSQT) User Manual, Version 2.0. U.S. Environmental Protection Agency, Office of Wetlands, Oceans and Watersheds (Contract # EP-C-17-001), Washington, D.C.","The MNSQT is an application of the Stream Functions Pyramid Framework (SFPF) and uses function-based parameters and metrics to assess five functional categories: Hydrology, Hydraulics, Geomorphology, Physicochemical, and Biology (Harman et al. 2012). The MNSQT integrates multiple indicators from these functional categories into a reach-based condition score that is used to calculate the change in condition before and after impact or restoration activities are implemented."
17,17,Missouri Stream Mitigation Method (MSMM),USACE (2013),High,Public,-,MI,No,USACE,2013,Mitigation Protocol,S,-,-,-,-,-,-,-,-,-,S,Hours,Low,"Field,Office",T1,Field data,"Impacts, Credits",No,No,No,"CWA 404/401, Section 10",-,MI,"NW Division, Southwest Division, Mississippi Valley Division","Kansas City, Little Rock District, St. Louis District, Rock Island District",-,https://usace.contentdm.oclc.org/utils/getfile/collection/p266001coll1/id/9482 ,-,-,"The MSMM is applicable to regulatory actions requiring compensatory mitigation for adverse ecological effects where more rigorous, detailed studies (e.g., Hydrogeomorphic Approach, Rapid Stream Assessment Technique, Index of Biologic Integrity) are not considered practical or necessary. This method is a rapid protocol and has been established to supplement current policy and provide a consistent rationale to determine appropriate compensatory stream mitigation. This will be the preferred method when assessing mitigation requirements for all types of stream systems (perennial, intermittent, and ephemeral) that contain an ordinary high water mark and are determined to be jurisdictional waters of the United States (streams are natural, man-altered, or man-made tributaries that flow directly or indirectly into traditional navigable waters). "
18,18,North Carolina Stream Quantification Tool (North Carolina SQT 3.0),Harman et al. (2016),High,Private,-,NC,No,Stream Mechanics,2016,Protocol,RE,-,DC,DC,DC,DC,-,-,RE,-,-,Days,"Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",-,NC,-,-,https://stream-mechanics.com/wp-content/uploads/2017/09/NC-Quantification-Tool-v3.0.xlsx,https://stream-mechanics.com/wp-content/uploads/2017/09/Spreadsheet-User-Manual-NC-SQT-v3.0.pdf,-,"Harman, W.A. and C.J. Jones. 2017. North Carolina Stream Quantification Tool: SpreadsheetUser Manual, NC SQT v3.0. Environmental Defense Fund, Raleigh, NC.","The SQT was developed primarily for stream restoration projects completed as part of acompensatory mitigation requirement. However, the tool can be used for any stream restorationproject, regardless of the funding driver."
19,19,Qualitative Habitat Evaluation Index (Ohio QHEI),"Rankin (1989), OEPA (2006)",High,Public,Watersheds > 1 sq mi,OH,Yes,Ohio EPA,2006,Protocol,-,S,S,-,S,S,-,-,S,-,-,Hours,Low,"Field,Office",T1,Field data,Index,No,No,No,"Inventory, Water Quality",-,"OH, IN",Great Lakes and Ohio River Division,Louisville and Detroit District,-,https://epa.ohio.gov/static/Portals/35/documents/QHEIManualJune2006.pdf,-,-,"The Qualitative Habitat Evaluation Index (QHEI) is a physical habitat index designed to provide an empirical, quantified evaluation of the general lotic macrohabitat characteristics that are important to fish communities. A detailed analysis of the development and use of the QHEI is available in Rankin (1989) and Rankin (1995). The QHEI is composed of six principal metrics each of which are described below. The maximum possible QHEI site score is 100. Each of the metrics are scored individually and then summed to provide the total QHEI site score. "
20,20,Qualitative Habitat Evaluation Index for Louisville Streams (QHEILS),Mckay et al. (In Press),Medium,Public,Watersheds > 1 sq mi,KY,Yes,USACE,2021,Protocol,-,S,S,-,S,S,S,S,S,-,-,Hours,Low,"Field,Office",T1,Field data,Index,No,No,No,"Inventory, Water Quality",-,KY,Great Lakes and Ohio River Division,Louisville and Detroit District,-,https://www.lrl.usace.army.mil/Portals/64/docs/CWProjects/05b_LRL_465081_ThreeForks_Final-Report_AppB_Econ_20211215.pdf?ver=1RhmfQNyZyTAj5yPljGHKA%3D%3D,-,"McKay S.K., Athanasakes G., Taylor S., Miller W., Wagoner E., and Mattingly L. In review. Qualitative Habitat Evaluation Index for Louisville Streams (QHEILS). ERDC TN-EMRRP. U.S. Army Engineer Research and Development Center, Vicksburg, Mississippi.","Urban stream restoration typically involves multiple objectives addressing different aspects of ecosystem integrity such as habitat provision, geomorphic condition, watershed connectivity, water quality, and land use change, among others. Multiple stream assessment tools and models have been developed and applied to inform restoration prioritization, planning, and design. Here, we present the Qualitative Habitat Evaluation Index for Louisville Streams (QHEILS, pronounced “quails”), which is designed as an interdisciplinary assessment method for urban streams in the Louisville, Kentucky metropolitan region. The model adapts a regional habitat assessment procedure called the Qualitative Habitat Evaluation Index by incorporating additional processes related to geomorphic change and watershed connectivity. The model was developed in the context of the Beargrass Creek Ecosystem Restoration Feasibility Study, and QHEILS provides a rapid procedure for assessing multi-objective benefits associated with proposed restoration actions."
21,21,Rapid Bioassessment Protocol (RBP): Stream Habitat Assessment Only,Barbour et al. (1999),High,Public,Wadeable Streams,Nationwide,Yes,EPA,1999,Protocol,-,S,S,-,S,S,-,S,S,-,S,Hours,Low,"Field,Office",T1,Field data,Index,No,Yes,No,"TMDLs, Water Quality, Inventory",-,-,-,-,-,https://archive.epa.gov/water/archive/web/html/app_a.html,"4 Parts: Habitat semi-quantitative assessment, Periphyton quantitative assessment, Macroinvertebrate quantitative assessment, Fish quantitative assessment","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999.  Rapid Bioassessment Protocols for Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.  EPA 841-B-99-002.  U.S. Environmental Protection Agency; Office of Water; Washington, D.C.","The Rapid Bioassessment Protocols advocate an integrated assessment, comparing habitat (e.g., physical structure, flow regime), water quality and biological measures with empirically defined reference conditions (via actual reference sites, historical data, and/or modeling or extrapolation).   Reference conditions are best established through systematic monitoring of actual sites that represent the natural range of variation in ""minimally” disturbed water chemistry, habitat, and biological conditions (Gibson et al. 1996).  Of these 3 components of ecological integrity, ambient water chemistry may be the most difficult to characterize because of the complex array of possible constituents (natural and otherwise) that affect it.  The implementation framework is enhanced by the development of an empirical relationship between habitat quality and biological condition that is refined for a given region.  As additional information is obtained from systematic monitoring of potentially impacted and site-specific control sites, the predictive power of the empirical relationship is enhanced.  Once the relationship between habitat and biological potential is understood, water quality impacts can be objectively discriminated from habitat effects, and control and rehabilitation efforts can be focused on the most important source of impairment."
22,22,Rapid Bioassessment Protocol (RBP): Stream Habitat Assessment and Bioassessments,Barbour et al. (1999),High,Public,Wadeable Streams,Nationwide,Yes,EPA,1999,Protocol,-,S,S,-,DC,DC,-,S,S,-,S,"Hours,Days","Low,High","Field,Office,Lab","T1,T3",Field data,"Index,Data",No,Yes,No,"TMDLs, Water Quality, Inventory",-,-,-,-,-,https://archive.epa.gov/water/archive/web/html/app_a.html,"4 Parts: Habitat semi-quantitative assessment, Periphyton quantitative assessment, Macroinvertebrate quantitative assessment, Fish quantitative assessment","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999.  Rapid Bioassessment Protocols for Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.  EPA 841-B-99-002.  U.S. Environmental Protection Agency; Office of Water; Washington, D.C.","The Rapid Bioassessment Protocols advocate an integrated assessment, comparing habitat (e.g., physical structure, flow regime), water quality and biological measures with empirically defined reference conditions (via actual reference sites, historical data, and/or modeling or extrapolation).   Reference conditions are best established through systematic monitoring of actual sites that represent the natural range of variation in ""minimally” disturbed water chemistry, habitat, and biological conditions (Gibson et al. 1996).  Of these 3 components of ecological integrity, ambient water chemistry may be the most difficult to characterize because of the complex array of possible constituents (natural and otherwise) that affect it.  The implementation framework is enhanced by the development of an empirical relationship between habitat quality and biological condition that is refined for a given region.  As additional information is obtained from systematic monitoring of potentially impacted and site-specific control sites, the predictive power of the empirical relationship is enhanced.  Once the relationship between habitat and biological potential is understood, water quality impacts can be objectively discriminated from habitat effects, and control and rehabilitation efforts can be focused on the most important source of impairment."
23,23,South Carolina Stream Quantification Tool (SC SQT v. 1.1),South Carolina Steering Committee (2022),High,Public,-,SC,No,South Carolina Steering Committee,2022,Protocol,RE,-,DC,DC,DC,DC,-,-,DC,-,-,"Days,Week+","Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",-,SC,-,-,-,https://stream-mechanics.com/wp-content/uploads/2023/03/SC_SQT_User_Manual.pdf,-,"South Carolina Steering Committee. 2022. South Carolina Stream Quantification Tool: Spreadsheet User Manual, SC SQT v1.1. South Carolina Department of Natural Resources, Columbia, SC.",The SQT has been developed to assess and quantify functional lift and loss. The SQT can be used to determine credits or debits resulting from reach-scale activities typically encountered in the Clean Water Act (CWA) 404 program.
